timestamp,actual_kwh,active_model,blend_weight_transfer,prediction_kwh,uncertainty_std,lower_ci_90,upper_ci_90,transfer_pred_kwh,pretransfer_pred_kwh,rolling_mae_transfer,rolling_mae_pretransfer,stream_hour
2016-09-11 02:00:00,899.875,blend,0.5,933.0095,0.0,1018.1747,1018.1747,929.5333,936.4857,29.6583,36.6107,0
2016-09-11 03:00:00,899.0,blend,0.5,932.8254,0.0,932.0168,932.0168,929.5338,936.1171,30.096,36.8639,1
2016-09-11 04:00:00,878.5625,blend,0.5,932.5467,0.0,877.8321,877.8321,929.5339,935.5596,37.0545,43.575,2
2016-09-11 05:00:00,889.6875,blend,0.5,935.4304,0.0,885.79,885.79,929.5339,941.3268,37.7525,45.591,3
2016-09-11 06:00:00,890.5625,blend,0.5,936.6589,0.0,874.3263,874.3263,929.5339,943.7839,37.9962,47.1171,4
2016-09-11 07:00:00,893.75,blend,0.5,937.8139,0.0,891.4614,891.4614,929.5339,946.0939,37.6275,47.9883,5
2016-09-11 08:00:00,874.125,blend,0.5,938.8678,0.0,932.9366,932.9366,929.5339,948.2018,40.1677,51.7152,6
2016-09-11 09:00:00,907.875,blend,0.5,941.2137,0.0,785.1181,785.1181,929.5341,952.8934,37.8541,50.8781,7
2016-09-11 10:00:00,883.5,blend,0.5,942.7853,0.0,930.8038,930.8038,929.5341,956.0365,38.763,53.2846,8
2016-09-11 11:00:00,864.875,blend,0.5,945.0724,0.0,1007.8775,1007.8775,929.5342,960.6107,41.3526,57.5297,9
2016-09-11 12:00:00,892.75,blend,0.5,946.8047,0.0,928.7361,928.7361,929.5342,964.0751,40.9373,58.7838,10
2016-09-11 13:00:00,878.625,blend,0.5,947.8448,0.0,1087.004,1087.004,929.5342,966.1553,41.7683,61.1794,11
2016-09-11 14:00:00,899.25,blend,0.5,949.4751,0.0,893.7778,893.7778,929.5342,969.416,40.8849,61.8706,12
2016-09-11 15:00:00,913.125,blend,0.5,950.9462,0.0,858.9717,858.9717,929.5342,972.3582,39.1367,61.6822,13
2016-09-11 16:00:00,908.6875,blend,0.5,952.2699,0.0,1053.2275,1053.2275,929.5325,975.0073,37.9172,61.9914,14
2016-09-11 17:00:00,928.3125,blend,0.5,953.2327,0.0,896.6385,896.6385,929.529,976.9363,35.6234,61.1559,15
2016-09-11 18:00:00,913.25,blend,0.5,955.7923,0.0,940.7839,940.7839,929.5302,982.0544,34.4856,61.6058,16
2016-09-11 19:00:00,941.25,blend,0.5,955.4485,0.0,885.5016,885.5016,929.5315,981.3655,33.2208,60.4119,17
2016-09-11 20:00:00,928.9375,blend,0.5,949.2587,0.0,1128.1768,1128.1768,929.5325,968.985,31.5036,59.3401,18
2016-09-11 21:00:00,933.375,blend,0.5,946.0467,0.0,918.1747,918.1747,929.5331,962.5602,30.1205,57.8324,19
2016-09-11 22:00:00,921.9375,blend,0.5,943.6335,0.0,987.8428,987.8428,929.5336,957.7335,29.0479,56.783,20
2016-09-11 23:00:00,899.0625,blend,0.5,941.8686,0.0,981.4679,981.4679,929.5338,954.2035,29.1126,56.7084,21
2016-09-12 00:00:00,913.625,blend,0.5,939.8816,0.0,914.0181,914.0181,929.5339,950.2293,28.5385,55.8343,22
2016-09-12 01:00:00,954.75,blend,0.5,941.8499,0.0,970.6597,970.6597,929.5341,954.1657,28.4001,53.5322,23
2016-09-12 02:00:00,954.75,blend,0.5,943.9539,0.0,850.1542,850.1542,929.5342,958.3737,28.2727,51.5359,24
2016-09-12 03:00:00,954.75,blend,0.5,946.4378,0.0,916.0385,916.0385,929.5342,963.3413,28.1552,49.8842,25
2016-09-12 04:00:00,954.75,blend,0.5,948.2926,0.0,939.2636,939.2636,929.5344,967.0509,28.0463,48.4922,26
2016-09-12 05:00:00,954.75,blend,0.5,949.4514,0.0,935.5962,935.5962,929.5344,969.3685,27.9452,47.2824,27
2016-09-12 06:00:00,954.75,blend,0.5,951.0765,0.0,974.6945,974.6945,929.5344,972.6187,27.8511,46.2681,28
2016-09-12 07:00:00,954.75,blend,0.5,952.332,0.0,1032.0299,1032.0299,929.5344,975.1296,27.7632,45.4052,29
2016-09-12 08:00:00,954.75,blend,0.5,954.4452,0.0,900.9158,900.9158,929.5344,979.356,27.681,44.7343,30
2016-09-12 09:00:00,954.75,blend,0.5,964.4746,0.0,873.2627,873.2627,929.5344,999.4149,27.604,44.7321,31
2016-09-12 10:00:00,954.75,blend,0.5,975.6236,0.0,916.5879,916.5879,929.5345,1021.7126,27.5316,45.4057,32
2016-09-12 11:00:00,954.75,blend,0.5,982.6209,0.0,760.7462,760.7462,929.5345,1035.7074,27.4635,46.4514,33
2016-09-12 12:00:00,954.75,blend,0.5,985.3859,0.0,793.6373,793.6373,929.5345,1041.2373,27.3993,47.5953,34
2016-09-12 13:00:00,954.75,blend,0.5,988.7358,0.0,745.3833,745.3833,929.5345,1047.9371,27.3386,48.8617,35
2016-09-12 14:00:00,1031.6875,blend,0.5,990.689,0.0,995.7036,995.7036,929.5346,1051.8434,29.3606,48.0859,36
2016-09-12 15:00:00,1012.625,blend,0.5,995.4179,0.0,941.2638,941.2638,929.5345,1061.3013,30.7746,48.1014,37
2016-09-12 16:00:00,1096.5625,blend,0.5,1000.233,0.0,963.5439,963.5439,929.5343,1070.9318,34.2682,47.5252,38
2016-09-12 17:00:00,1002.625,blend,0.5,1003.1023,0.0,957.2836,957.2836,929.5339,1076.6707,35.2388,48.1882,39
2016-09-12 18:00:00,1075.0625,blend,0.5,1005.3734,0.0,822.2019,822.2019,929.5338,1081.213,37.9288,47.1629,40
2016-09-12 19:00:00,1045.0,blend,0.5,1004.9718,0.0,984.3438,984.3438,929.5336,1080.41,39.7749,46.8831,41
2016-09-12 20:00:00,1043.125,blend,0.5,1000.2457,0.0,1010.7739,1010.7739,929.5337,1070.9576,41.4916,46.4401,42
2016-09-12 21:00:00,1001.875,blend,0.5,995.7928,0.0,900.8888,900.8888,929.5338,1062.0518,42.1927,46.7523,43
2016-09-12 22:00:00,973.125,blend,0.5,990.2556,0.0,819.3415,819.3415,929.5339,1050.9774,42.2238,47.4434,44
2016-09-12 23:00:00,940.0,blend,0.5,979.6676,0.0,845.7263,845.7263,929.534,1029.8011,41.5334,48.3642,45
2016-09-13 00:00:00,929.3125,blend,0.5,968.879,0.0,766.5543,766.5543,929.5341,1008.2239,40.6544,49.0141,46
2016-09-13 01:00:00,923.8125,blend,0.5,960.2021,0.0,869.9867,869.9867,929.5342,990.8699,39.9267,49.39,47
2016-09-13 02:00:00,898.8125,blend,0.5,956.1348,0.0,740.7589,740.7589,929.5342,982.7354,39.7388,50.0948,48
2016-09-13 03:00:00,906.5625,blend,0.5,954.0416,0.0,924.1985,924.1985,929.5343,978.5489,39.4035,50.5326,49
2016-09-13 04:00:00,908.0,blend,0.5,952.0479,0.0,983.8923,983.8923,929.5344,974.5615,39.0531,50.8469,50
2016-09-13 05:00:00,895.3125,blend,0.5,951.6807,0.0,750.9987,750.9987,929.5344,973.8271,38.9602,51.379,51
2016-09-13 06:00:00,904.625,blend,0.5,953.5375,0.0,808.1359,808.1359,929.5344,977.5406,38.6951,51.7853,52
2016-09-13 07:00:00,885.0625,blend,0.5,954.2018,0.0,967.2002,967.2002,929.5344,978.8692,38.8021,52.5635,53
2016-09-13 08:00:00,920.6875,blend,0.5,955.5273,0.0,1035.9686,1035.9686,929.5344,981.5202,38.2574,52.7139,54
2016-09-13 09:00:00,894.3125,blend,0.5,962.7521,0.0,804.5909,804.5909,929.5345,995.9697,38.2032,53.5879,55
2016-09-13 10:00:00,894.3125,blend,0.5,974.394,0.0,902.728,902.728,929.5345,1019.2535,38.1509,54.8397,56
2016-09-13 11:00:00,894.3125,blend,0.5,981.6514,0.0,911.6896,911.6896,929.5345,1033.7683,38.1004,56.2986,57
2016-09-13 12:00:00,894.3125,blend,0.5,982.2433,0.0,894.806,894.806,929.5345,1034.952,38.0516,57.7281,58
2016-09-13 13:00:00,894.3125,blend,0.5,984.6676,0.0,1006.4993,1006.4993,929.5346,1039.8005,38.0045,59.1907,59
2016-09-13 14:00:00,1012.3125,blend,0.5,987.2381,0.0,1043.8816,1043.8816,929.5347,1044.9415,38.7385,58.7553,60
2016-09-13 15:00:00,1017.3125,blend,0.5,990.681,0.0,834.0745,834.0745,929.5347,1051.8273,39.5294,58.3643,61
2016-09-13 16:00:00,1021.5,blend,0.5,999.0055,0.0,1011.1254,1011.1254,929.5347,1068.4762,40.3617,58.1836,62
2016-09-13 17:00:00,1007.0,blend,0.5,1003.5423,0.0,944.1826,944.1826,929.5347,1077.5498,40.9415,58.3768,63
2016-09-13 18:00:00,1044.625,blend,0.5,1004.0016,0.0,884.6879,884.6879,929.5347,1078.4684,42.0822,57.9993,64
2016-09-13 19:00:00,1025.6875,blend,0.5,1002.567,0.0,958.1944,958.1944,929.5347,1075.5994,42.9015,57.8768,65
2016-09-13 20:00:00,1043.3125,blend,0.5,996.807,0.0,839.9766,839.9766,929.5346,1064.0793,43.9593,57.3229,66
2016-09-13 21:00:00,1006.375,blend,0.5,990.8086,0.0,975.6736,975.6736,929.5341,1052.083,44.4429,57.1521,67
2016-09-13 22:00:00,979.9375,blend,0.5,984.5261,0.0,874.8252,874.8252,929.5325,1039.5197,44.5293,57.1873,68
2016-09-13 23:00:00,944.75,blend,0.5,975.9526,0.0,917.2689,917.2689,929.5321,1022.373,44.1106,57.4793,69
2016-09-14 00:00:00,919.0,blend,0.5,964.8546,0.0,886.6887,886.6887,929.5326,1000.1766,43.6376,57.813,70
2016-09-14 01:00:00,927.5625,blend,0.5,955.314,0.0,1057.436,1057.436,929.5334,981.0945,43.0589,57.7536,71
2016-09-14 02:00:00,908.5625,blend,0.5,949.831,0.0,948.7166,948.7166,929.5339,970.1281,42.7564,57.8058,72
2016-09-14 03:00:00,919.875,blend,0.5,948.1434,0.0,889.3409,889.3409,929.5341,966.7527,42.3091,57.6581,73
2016-09-14 04:00:00,877.0,blend,0.5,948.0859,0.0,827.8764,827.8764,929.5342,966.6376,42.4454,58.0845,74
2016-09-14 05:00:00,891.75,blend,0.5,948.0709,0.0,965.3425,965.3425,929.5344,966.6075,42.3841,58.3052,75
2016-09-14 06:00:00,898.875,blend,0.5,947.4486,0.0,945.3766,945.3766,929.5344,965.3629,42.2318,58.4115,76
2016-09-14 07:00:00,885.5625,blend,0.5,947.8018,0.0,961.7396,961.7396,929.5344,966.0693,42.2541,58.6948,77
2016-09-14 08:00:00,886.0625,blend,0.5,950.618,0.0,743.692,743.692,929.5344,971.7015,42.2696,59.0358,78
2016-09-14 09:00:00,884.0,blend,0.5,959.6297,0.0,823.8684,823.8684,929.5345,989.7249,42.3104,59.6194,79
2016-09-14 10:00:00,889.375,blend,0.5,967.2957,0.0,862.3727,862.3727,929.5345,1005.057,42.2838,60.3116,80
2016-09-14 11:00:00,909.0,blend,0.5,971.4394,0.0,904.4847,904.4847,929.5345,1013.3442,42.0186,60.8486,81
2016-09-14 12:00:00,947.9375,blend,0.5,975.9269,0.0,917.8106,917.8106,929.5345,1022.3192,41.7341,61.0116,82
2016-09-14 13:00:00,990.625,blend,0.5,982.8892,0.0,923.0403,923.0403,929.5346,1036.2438,41.9645,60.8284,83
2016-09-14 14:00:00,1005.75,blend,0.5,991.9959,0.0,810.2861,810.2861,929.5347,1054.4572,42.3674,60.6858,84
