timestamp,actual_kwh,active_model,blend_weight_transfer,prediction_kwh,uncertainty_std,lower_ci_90,upper_ci_90,transfer_pred_kwh,pretransfer_pred_kwh,rolling_mae_transfer,rolling_mae_pretransfer,stream_hour
2016-05-22 00:00:00,53.18,blend,0.5,57.4347,0.0,67.0596,67.0596,57.5185,57.3509,4.3385,4.1709,0
2016-05-22 01:00:00,53.13,blend,0.5,58.5162,0.0,54.3985,54.3985,57.94,59.0924,4.5742,5.0667,1
2016-05-22 02:00:00,52.86,blend,0.5,59.9152,0.0,50.939,50.939,58.9467,60.8837,5.0784,6.0523,2
2016-05-22 03:00:00,53.44,blend,0.5,61.8407,0.0,53.7381,53.7381,60.4543,63.2271,5.5624,6.986,3
2016-05-22 04:00:00,63.94,blend,0.5,63.4927,0.0,65.6108,65.6108,62.0848,64.9006,4.8209,5.7809,4
2016-05-22 05:00:00,71.09,blend,0.5,65.4525,0.0,69.934,69.934,64.3545,66.5505,5.14,5.574,5
2016-05-22 06:00:00,63.66,blend,0.5,67.6327,0.0,79.2378,79.2378,67.4625,67.8028,4.949,5.3696,6
2016-05-22 07:00:00,60.78,blend,0.5,70.1651,0.0,74.36,74.36,70.7696,69.5605,5.579,5.7959,7
2016-05-22 08:00:00,61.06,blend,0.5,70.0063,0.0,81.6086,81.6086,71.3684,68.6443,6.1045,5.9946,8
2016-05-22 09:00:00,60.1,blend,0.5,66.0086,0.0,65.9292,65.9292,67.0458,64.9713,6.1887,5.8823,9
2016-05-22 10:00:00,60.49,blend,0.5,64.0528,0.0,63.6311,63.6311,64.3217,63.7839,5.9744,5.647,10
2016-05-22 11:00:00,59.22,blend,0.5,63.3163,0.0,54.1687,54.1687,63.1425,63.4901,5.8034,5.5323,11
2016-05-22 12:00:00,59.87,blend,0.5,62.2036,0.0,68.1999,68.1999,61.9275,62.4797,5.5153,5.3074,12
2016-05-22 13:00:00,57.98,blend,0.5,61.1977,0.0,64.4406,64.4406,60.9013,61.4942,5.33,5.1794,13
2016-05-22 14:00:00,60.12,blend,0.5,60.242,0.0,53.1114,53.1114,60.0518,60.4323,4.9792,4.8549,14
2016-05-22 15:00:00,61.33,blend,0.5,59.2157,0.0,54.6953,54.6953,59.1708,59.2605,4.8029,4.6808,15
2016-05-22 16:00:00,60.21,blend,0.5,57.9624,0.0,58.6421,58.6421,57.9777,57.9471,4.6517,4.5386,16
2016-05-22 17:00:00,58.1,blend,0.5,57.3031,0.0,49.3693,49.3693,57.6328,56.9734,4.4192,4.349,17
2016-05-22 18:00:00,51.3,blend,0.5,56.0916,0.0,66.375,66.375,56.4883,55.695,4.4597,4.3514,18
2016-05-22 19:00:00,53.47,blend,0.5,54.7885,0.0,51.4301,51.4301,55.6099,53.9672,4.3437,4.1587,19
2016-05-22 20:00:00,58.86,blend,0.5,54.8642,0.0,61.4853,61.4853,55.578,54.1505,4.2932,4.1849,20
2016-05-22 21:00:00,53.64,blend,0.5,55.2065,0.0,48.5564,48.5564,55.8533,54.5596,4.1986,4.0365,21
2016-05-22 22:00:00,54.63,blend,0.5,55.3875,0.0,56.5403,56.5403,56.0124,54.7626,4.0762,3.8668,22
2016-05-22 23:00:00,53.79,blend,0.5,55.873,0.0,57.1241,57.1241,56.4576,55.2885,4.0175,3.7681,23
2016-05-23 00:00:00,53.5,blend,0.5,56.8382,0.0,55.6219,55.6219,57.0943,56.5821,4.0006,3.7407,24
2016-05-23 01:00:00,53.26,blend,0.5,59.2799,0.0,51.8676,51.8676,59.4899,59.07,4.0863,3.8203,25
2016-05-23 02:00:00,53.17,blend,0.5,63.2283,0.0,61.5879,61.5879,63.5296,62.927,4.3187,4.0401,26
2016-05-23 03:00:00,53.16,blend,0.5,64.6479,0.0,75.17,75.17,66.1915,63.1042,4.6298,4.251,27
2016-05-23 04:00:00,62.39,blend,0.5,70.2349,0.0,66.6832,66.6832,72.6431,67.8267,4.8237,4.2919,28
2016-05-23 05:00:00,65.25,blend,0.5,76.6586,0.0,84.0151,84.0151,80.9441,72.3732,5.1861,4.3863,29
2016-05-23 06:00:00,57.09,blend,0.5,81.7837,0.0,69.3826,69.3826,87.9134,75.6541,6.0131,4.8436,30
2016-05-23 07:00:00,61.12,blend,0.5,86.415,0.0,101.2684,101.2684,91.6606,81.1694,6.7796,5.3188,31
2016-05-23 08:00:00,76.46,blend,0.5,90.1055,0.0,88.172,88.172,93.4227,86.7882,7.0882,5.4706,32
2016-05-23 09:00:00,90.34,blend,0.5,88.1863,0.0,107.465,107.465,92.2634,84.1092,6.9362,5.4929,33
2016-05-23 10:00:00,97.15,blend,0.5,91.4184,0.0,99.3415,99.3415,92.616,90.2207,6.8676,5.534,34
2016-05-23 11:00:00,96.33,blend,0.5,99.3861,0.0,105.4398,105.4398,95.7847,102.9875,6.692,5.5652,35
2016-05-23 12:00:00,93.47,blend,0.5,102.388,0.0,107.6245,107.6245,97.7238,107.0521,6.6261,5.7819,36
2016-05-23 13:00:00,100.9,blend,0.5,96.9771,0.0,103.5042,103.5042,94.6948,99.2595,6.615,5.6729,37
2016-05-23 14:00:00,99.85,blend,0.5,87.9749,0.0,88.9594,88.9594,88.5063,87.4435,6.7363,5.8455,38
2016-05-23 15:00:00,97.93,blend,0.5,86.3705,0.0,102.4633,102.4633,85.4042,87.3369,6.881,5.9642,39
2016-05-23 16:00:00,92.79,blend,0.5,81.0603,0.0,75.4333,75.4333,79.4646,82.656,7.0382,6.0659,40
2016-05-23 17:00:00,79.5,blend,0.5,73.248,0.0,63.1322,63.1322,73.3903,73.1057,7.0161,6.0738,41
2016-05-23 18:00:00,65.44,blend,0.5,67.4872,0.0,64.8012,64.8012,68.2372,66.7373,6.918,5.9627,42
2016-05-23 19:00:00,60.11,blend,0.5,61.8159,0.0,60.6744,60.6744,62.5701,61.0617,6.8167,5.8488,43
2016-05-23 20:00:00,58.91,blend,0.5,59.6881,0.0,64.2476,64.2476,60.409,58.9673,6.6985,5.7201,44
2016-05-23 21:00:00,55.32,blend,0.5,58.7122,0.0,64.125,64.125,59.3898,58.0346,6.6413,5.6547,45
2016-05-23 22:00:00,56.28,blend,0.5,58.4263,0.0,61.2361,61.2361,58.8657,57.987,6.555,5.5708,46
2016-05-23 23:00:00,55.13,blend,0.5,58.6337,0.0,51.6947,51.6947,58.8897,58.3777,6.4968,5.5224,47
