timestamp,actual_kwh,active_model,blend_weight_transfer,prediction_kwh,uncertainty_std,lower_ci_90,upper_ci_90,transfer_pred_kwh,pretransfer_pred_kwh,rolling_mae_transfer,rolling_mae_pretransfer,stream_hour
2016-03-27 02:00:00,775.576,blend,0.5,664.8151,0.0,347.2099,347.2099,306.9936,1022.6366,468.5824,247.0606,0
2016-03-27 03:00:00,783.5889,blend,0.5,664.8132,0.0,334.3374,334.3374,306.9897,1022.6366,472.5908,243.0541,1
2016-03-27 04:00:00,798.6384,blend,0.5,664.8095,0.0,243.1512,243.1512,306.9824,1022.6366,478.9458,236.7022,2
2016-03-27 05:00:00,786.5721,blend,0.5,664.8009,0.0,294.3537,294.3537,306.9653,1022.6366,479.1111,236.5427,3
2016-03-27 06:00:00,781.8456,blend,0.5,664.7915,0.0,270.9441,270.9441,306.9463,1022.6366,478.2687,237.3924,4
2016-03-27 07:00:00,791.5052,blend,0.5,664.7832,0.0,322.3583,322.3583,306.9298,1022.6366,479.3198,236.3489,5
2016-03-27 08:00:00,780.9815,blend,0.5,664.7771,0.0,330.7665,330.7665,306.9177,1022.6366,478.569,237.1069,6
2016-03-27 09:00:00,790.3282,blend,0.5,664.77,0.0,284.9775,284.9775,306.9034,1022.6366,479.176,236.5071,7
2016-03-27 10:00:00,795.4672,blend,0.5,664.7663,0.0,329.2906,329.2906,306.8961,1022.6366,480.2199,235.4696,8
2016-03-27 11:00:00,790.7892,blend,0.5,664.7637,0.0,316.4629,316.4629,306.8908,1022.6366,480.5877,235.1074,9
2016-03-27 12:00:00,786.0201,blend,0.5,664.7717,0.0,318.1622,318.1622,306.9068,1022.6366,480.4537,235.2446,10
2016-03-27 13:00:00,811.3651,blend,0.5,664.7763,0.0,302.7851,302.7851,306.916,1022.6366,482.4533,233.2468,11
2016-03-27 14:00:00,799.7566,blend,0.5,664.779,0.0,267.7273,267.7273,306.9214,1022.6366,483.2519,232.4494,12
2016-03-27 15:00:00,803.9759,blend,0.5,664.7829,0.0,302.6312,302.6312,306.9291,1022.6366,484.2373,231.4645,13
2016-03-27 16:00:00,810.4458,blend,0.5,664.7876,0.0,332.6683,332.6683,306.9386,1022.6366,485.5219,230.1795,14
2016-03-27 17:00:00,817.0656,blend,0.5,664.7903,0.0,329.4035,329.4035,306.9441,1022.6366,487.0594,228.6415,15
2016-03-27 18:00:00,807.3514,blend,0.5,664.7922,0.0,317.7349,317.7349,306.9478,1022.6366,487.8444,227.8558,16
2016-03-27 19:00:00,811.1465,blend,0.5,664.792,0.0,305.0937,305.0937,306.9473,1022.6366,488.753,226.9466,17
2016-03-27 20:00:00,825.3699,blend,0.5,664.7867,0.0,335.9227,335.9227,306.9368,1022.6366,490.3151,225.3845,18
2016-03-27 21:00:00,816.4586,blend,0.5,664.7779,0.0,329.0349,329.0349,306.9191,1022.6366,491.2763,224.4242,19
2016-03-27 22:00:00,815.4478,blend,0.5,664.7616,0.0,311.3412,311.3412,306.8866,1022.6366,492.0994,223.6035,20
2016-03-27 23:00:00,796.4891,blend,0.5,664.735,0.0,302.5705,302.5705,306.8334,1022.6366,491.9883,223.7191,21
2016-03-28 00:00:00,811.1713,blend,0.5,664.6963,0.0,275.5266,275.5266,306.756,1022.6366,492.5286,223.1863,22
2016-03-28 01:00:00,824.1446,blend,0.5,664.6667,0.0,327.0379,327.0379,306.6968,1022.6366,493.5669,222.1574,23
2016-03-28 02:00:00,779.5517,blend,0.5,664.6465,0.0,293.0593,293.0593,306.6565,1022.6366,492.74,222.9945,24
2016-03-28 03:00:00,787.3972,blend,0.5,664.631,0.0,304.1549,304.1549,306.6253,1022.6366,492.2797,223.4655,25
2016-03-28 04:00:00,760.2047,blend,0.5,664.605,0.0,317.992,317.992,306.5733,1022.6366,490.8483,224.9087,26
