rank,building_id,composite_score,completeness_pct,site_id,building_type,selected_as_source
1,Eagle_education_Samantha,99.96,99.93,Eagle,Education,True
2,Eagle_education_Will,99.85,99.54,Eagle,Education,True
3,Eagle_education_Luther,99.85,99.53,Eagle,Education,True
4,Eagle_education_Teresa,99.84,99.61,Eagle,Education,True
5,Eagle_education_Sherrill,99.83,99.48,Eagle,Education,True
6,Eagle_education_Norah,99.8,99.38,Eagle,Education,False
7,Eagle_education_Raul,99.78,99.3,Eagle,Education,False
8,Eagle_education_Peter,99.75,99.24,Eagle,Education,False
9,Eagle_education_Roman,99.69,99.0,Eagle,Education,False
10,Eagle_education_Petra,99.68,98.98,Eagle,Education,False
11,Eagle_education_Shanna,99.67,99.02,Eagle,Education,False
12,Eagle_education_Wesley,99.57,98.98,Eagle,Education,False
13,Eagle_education_Maragret,99.57,98.79,Eagle,Education,False
14,Eagle_education_Lino,99.56,98.95,Eagle,Education,False
15,Eagle_education_Shante,98.72,95.78,Eagle,Education,False
16,Eagle_education_Edith,98.38,95.91,Eagle,Education,False
17,Eagle_education_Brianne,98.34,95.03,Eagle,Education,False
18,Eagle_education_Alberto,98.07,93.62,Eagle,Education,False
19,Eagle_education_Shana,97.99,93.37,Eagle,Education,False
20,Eagle_education_Eileen,97.9,93.19,Eagle,Education,False
21,Eagle_education_Jewell,97.42,91.46,Eagle,Education,False
22,Eagle_education_Paul,95.56,85.7,Eagle,Education,False
23,Eagle_education_Sheena,95.56,85.7,Eagle,Education,False
24,Eagle_education_April,92.37,74.74,Eagle,Education,False
25,Eagle_education_Cassie,84.06,48.33,Eagle,Education,False
26,Fox_education_Eldon,79.98,99.97,Fox,Education,False
27,Fox_education_Tonya,79.98,99.98,Fox,Education,False
28,Fox_education_Theodore,79.98,99.97,Fox,Education,False
29,Fox_education_Andre,79.97,99.99,Fox,Education,False
30,Peacock_education_Ophelia,79.97,99.94,Peacock,Education,False
31,Robin_education_Madeline,79.97,100.0,Robin,Education,False
32,Fox_education_Wendell,79.97,99.96,Fox,Education,False
33,Hog_education_Hallie,79.97,99.99,Hog,Education,False
34,Fox_education_Gloria,79.97,99.93,Fox,Education,False
35,Robin_education_So,79.96,100.0,Robin,Education,False
36,Wolf_education_Joaquin,79.96,99.98,Wolf,Education,False
37,Fox_education_Yolande,79.96,99.99,Fox,Education,False
38,Fox_education_Virgil,79.95,99.97,Fox,Education,False
39,Fox_education_Geoffrey,79.95,99.96,Fox,Education,False
40,Fox_education_Otilia,79.95,99.9,Fox,Education,False
41,Peacock_education_Gilberto,79.95,99.91,Peacock,Education,False
42,Bear_education_Gavin,79.95,99.94,Bear,Education,False
43,Fox_education_Jaclyn,79.95,99.91,Fox,Education,False
44,Bear_education_Val,79.94,99.95,Bear,Education,False
45,Peacock_education_Karyn,79.94,99.85,Peacock,Education,False
46,Bear_education_Sharon,79.94,99.97,Bear,Education,False
47,Fox_education_Claude,79.94,99.85,Fox,Education,False
48,Hog_education_Bruno,79.94,99.99,Hog,Education,False
49,Robin_education_Jasper,79.94,100.0,Robin,Education,False
50,Robin_education_Audrea,79.94,100.0,Robin,Education,False
51,Bear_education_Wilton,79.94,99.9,Bear,Education,False
52,Robin_education_Megan,79.94,100.0,Robin,Education,False
53,Fox_education_Willis,79.94,99.98,Fox,Education,False
54,Robin_education_Margarito,79.93,100.0,Robin,Education,False
55,Robin_education_Derrick,79.93,100.0,Robin,Education,False
56,Fox_education_Melinda,79.93,99.98,Fox,Education,False
57,Peacock_education_Pasquale,79.92,99.78,Peacock,Education,False
58,Robin_education_Terrance,79.92,100.0,Robin,Education,False
59,Fox_education_Louie,79.92,99.98,Fox,Education,False
60,Robin_education_Leslie,79.92,100.0,Robin,Education,False
