rank,building_id,composite_score,completeness_pct,site_id,building_type,selected_as_source
1,Rat_education_Nellie,99.87,99.79,Rat,Education,True
2,Rat_education_Meghan,99.83,99.83,Rat,Education,True
3,Rat_education_Beverly,99.81,99.98,Rat,Education,True
4,Rat_education_Earnest,99.8,99.57,Rat,Education,True
5,Rat_education_Irma,99.8,99.68,Rat,Education,True
6,Rat_education_Kelsey,99.78,99.84,Rat,Education,False
7,Rat_education_Terese,99.78,99.61,Rat,Education,False
8,Rat_education_Tim,99.78,99.78,Rat,Education,False
9,Rat_education_Jena,99.77,99.57,Rat,Education,False
10,Rat_education_Mona,99.77,99.7,Rat,Education,False
11,Rat_education_Lee,99.77,99.98,Rat,Education,False
12,Rat_education_Dana,99.77,99.83,Rat,Education,False
13,Rat_education_Kathryn,99.76,99.98,Rat,Education,False
14,Rat_education_Elisa,99.76,99.84,Rat,Education,False
15,Rat_education_Fernando,99.76,99.56,Rat,Education,False
16,Rat_education_Jesse,99.76,99.84,Rat,Education,False
17,Rat_education_Royal,99.75,99.7,Rat,Education,False
18,Rat_education_Cedric,99.75,99.84,Rat,Education,False
19,Rat_education_Deanna,99.75,99.7,Rat,Education,False
20,Rat_education_Zoe,99.75,99.7,Rat,Education,False
21,Rat_education_Morton,99.74,99.7,Rat,Education,False
22,Rat_education_Marianna,99.74,99.29,Rat,Education,False
23,Rat_education_Everett,99.73,99.69,Rat,Education,False
24,Rat_education_Lonnie,99.72,99.56,Rat,Education,False
25,Rat_education_Debra,99.72,99.44,Rat,Education,False
26,Rat_education_Robyn,99.71,99.84,Rat,Education,False
27,Rat_education_Sherwood,99.71,99.43,Rat,Education,False
28,Rat_education_Salvatore,99.71,99.7,Rat,Education,False
29,Rat_education_Keith,99.7,99.84,Rat,Education,False
30,Rat_education_Lincoln,99.7,99.53,Rat,Education,False
31,Rat_education_Esther,99.7,99.56,Rat,Education,False
32,Rat_education_Verna,99.7,99.41,Rat,Education,False
33,Rat_education_Marvin,99.68,99.33,Rat,Education,False
34,Rat_education_Rosalyn,99.67,99.7,Rat,Education,False
35,Rat_education_Zina,99.67,99.29,Rat,Education,False
36,Rat_education_Colin,99.67,99.57,Rat,Education,False
37,Rat_education_Carmela,99.66,99.56,Rat,Education,False
38,Rat_education_Liz,99.66,99.7,Rat,Education,False
39,Rat_education_Ulrike,99.65,99.7,Rat,Education,False
40,Rat_education_Dann,99.65,99.7,Rat,Education,False
41,Rat_education_Brett,99.65,99.65,Rat,Education,False
42,Rat_education_Guillermo,99.63,99.54,Rat,Education,False
43,Rat_education_Winnie,99.63,99.56,Rat,Education,False
44,Rat_education_Earl,99.63,99.4,Rat,Education,False
45,Rat_education_Willie,99.62,99.57,Rat,Education,False
46,Rat_education_Shellie,99.61,99.57,Rat,Education,False
47,Rat_education_Mose,99.59,99.68,Rat,Education,False
48,Rat_education_Adrian,99.58,99.43,Rat,Education,False
49,Rat_education_Patty,99.58,99.57,Rat,Education,False
50,Rat_education_Alfonso,99.57,99.55,Rat,Education,False
51,Rat_education_Wilmer,99.56,99.43,Rat,Education,False
52,Rat_education_Lynn,99.55,99.7,Rat,Education,False
53,Rat_education_Jame,99.54,99.46,Rat,Education,False
54,Rat_education_Bryant,99.54,99.48,Rat,Education,False
55,Rat_education_Candida,99.54,99.7,Rat,Education,False
56,Rat_education_Cecil,99.5,99.42,Rat,Education,False
57,Rat_education_Renee,99.45,99.7,Rat,Education,False
58,Rat_education_Rogelio,99.44,98.87,Rat,Education,False
59,Rat_education_Nydia,99.41,99.12,Rat,Education,False
60,Rat_education_Theo,99.4,99.98,Rat,Education,False
61,Rat_education_Tania,99.4,98.81,Rat,Education,False
62,Rat_education_Stuart,99.4,99.57,Rat,Education,False
63,Rat_education_Davis,99.4,99.3,Rat,Education,False
64,Rat_education_Paula,99.36,98.88,Rat,Education,False
65,Rat_education_Adell,99.35,98.83,Rat,Education,False
66,Rat_education_Sina,99.33,99.43,Rat,Education,False
67,Rat_education_Nona,99.31,99.56,Rat,Education,False
68,Rat_education_Jacob,99.28,99.57,Rat,Education,False
69,Rat_education_Imelda,99.23,99.7,Rat,Education,False
70,Rat_education_Calvin,99.13,99.75,Rat,Education,False
71,Rat_education_Marcos,99.11,98.56,Rat,Education,False
72,Rat_education_Barney,99.09,99.28,Rat,Education,False
73,Rat_education_Milagros,99.07,97.36,Rat,Education,False
74,Rat_education_Dreama,98.99,97.75,Rat,Education,False
75,Rat_education_Maricela,98.9,97.14,Rat,Education,False
76,Rat_education_Humberto,98.9,97.8,Rat,Education,False
77,Rat_education_Leonardo,98.85,96.88,Rat,Education,False
