epoch,step,test_loss,test_mae,test_rmse,train_loss,val_loss,val_mae,val_rmse
0,12,,,,,21527.98828125,117.09313201904297,137.08995056152344
0,12,,,,30010.80078125,,,
1,25,,,,,20373.603515625,112.22608947753906,132.8233642578125
1,25,,,,28953.642578125,,,
2,38,,,,,19111.2578125,106.6989517211914,128.08168029785156
2,38,,,,27510.109375,,,
3,51,,,,,17758.771484375,100.43495178222656,122.84542846679688
3,51,,,,25811.345703125,,,
4,64,,,,,16328.1708984375,93.25680541992188,116.98593139648438
4,64,,,,24020.73046875,,,
5,77,,,,,14871.587890625,85.31881713867188,110.890625
5,77,,,,22165.3828125,,,
6,90,,,,,13423.6142578125,76.63850402832031,104.84066772460938
6,90,,,,20345.130859375,,,
7,103,,,,,12020.4541015625,68.73179626464844,99.2083969116211
7,103,,,,18241.494140625,,,
8,116,,,,,10716.623046875,68.42573547363281,94.45036315917969
8,116,,,,16440.943359375,,,
9,129,,,,,9554.443359375,70.77204132080078,90.66572570800781
9,129,,,,14439.318359375,,,
10,142,,,,,8615.2109375,73.63567352294922,87.90544128417969
10,142,,,,12918.921875,,,
11,155,,,,,7962.88427734375,76.66585540771484,86.2704849243164
11,155,,,,11695.029296875,,,
12,168,,,,,7659.4462890625,79.78324890136719,85.99471282958984
12,168,,,,10493.1474609375,,,
13,181,,,,,7695.7275390625,82.54026794433594,86.96682739257812
13,181,,,,9764.5224609375,,,
14,194,,,,,7922.81396484375,84.76236724853516,88.59064483642578
14,194,,,,9698.265625,,,
15,207,,,,,7988.81884765625,85.18933868408203,89.00337219238281
15,207,,,,9594.701171875,,,
16,220,,,,,7944.9833984375,84.8804702758789,88.73068237304688
16,220,,,,9770.2333984375,,,
17,233,,,,,7943.5087890625,84.84957885742188,88.72132873535156
17,233,,,,9489.2216796875,,,
18,246,,,,,7966.36865234375,85.01689910888672,88.86428833007812
18,246,,,,9617.806640625,,,
19,259,,,,,7949.83154296875,84.92643737792969,88.76091003417969
19,259,,,,9228.943359375,,,
20,272,,,,,7958.38623046875,84.998779296875,88.81442260742188
20,272,,,,9582.978515625,,,
21,285,,,,,7986.705078125,85.19541931152344,88.99014282226562
21,285,,,,9519.4091796875,,,
22,298,,,,,7960.6787109375,85.04658508300781,88.82858276367188
22,298,,,,9699.7880859375,,,
23,299,8638.5712890625,84.49928283691406,90.64330291748047,,,,
