timestamp,actual_kwh,active_model,blend_weight_transfer,prediction_kwh,uncertainty_std,lower_ci_90,upper_ci_90,transfer_pred_kwh,pretransfer_pred_kwh,rolling_mae_transfer,rolling_mae_pretransfer,stream_hour
2016-03-27 00:00:00,46.57,blend,0.5,68.6151,0.0,48.5335,48.5335,52.7486,84.4817,6.1786,37.9117,0
2016-03-27 01:00:00,46.63,blend,0.5,68.9989,0.0,52.8822,52.8822,53.516,84.4817,6.5323,37.8817,1
2016-03-27 02:00:00,46.43,blend,0.5,69.4919,0.0,51.9734,51.9734,54.502,84.4817,7.0455,37.9384,2
2016-03-27 03:00:00,46.8,blend,0.5,70.0472,0.0,50.0987,50.0987,55.6127,84.4817,7.4873,37.8742,3
2016-03-27 04:00:00,60.42,blend,0.5,70.6727,0.0,59.6939,59.6939,56.8638,84.4817,6.7011,35.1117,4
2016-03-27 05:00:00,60.26,blend,0.5,71.9644,0.0,55.7917,55.7917,59.4471,84.4817,5.7197,33.2967,5
2016-03-27 06:00:00,60.09,blend,0.5,73.4754,0.0,70.4099,70.4099,62.469,84.4817,5.2425,32.0246,6
2016-03-27 07:00:00,54.54,blend,0.5,74.7262,0.0,51.4231,51.4231,64.9706,84.4817,5.891,31.7642,7
2016-03-27 08:00:00,50.85,blend,0.5,75.1573,0.0,59.6389,59.6389,65.8328,84.4817,6.9012,31.9717,8
2016-03-27 09:00:00,51.76,blend,0.5,73.3512,0.0,69.6809,69.6809,62.2207,84.4817,7.2572,32.0467,9
2016-03-27 10:00:00,52.93,blend,0.5,71.6476,0.0,51.299,51.299,58.8136,84.4817,7.1323,32.0017,10
2016-03-27 11:00:00,51.64,blend,0.5,70.6243,0.0,66.4976,66.4976,56.7668,84.4817,6.9652,32.0717,11
2016-03-27 12:00:00,52.46,blend,0.5,69.9856,0.0,55.0475,55.0475,55.4895,84.4817,6.6624,32.0679,12
2016-03-27 13:00:00,51.69,blend,0.5,69.4441,0.0,45.283,45.283,54.4065,84.4817,6.3806,32.1196,13
2016-03-27 14:00:00,51.88,blend,0.5,68.9885,0.0,52.3812,52.3812,53.4952,84.4817,6.0629,32.1517,14
2016-03-27 15:00:00,50.95,blend,0.5,68.5905,0.0,57.5175,57.5175,52.6993,84.4817,5.7933,32.2379,15
2016-03-27 16:00:00,51.77,blend,0.5,68.2811,0.0,53.8264,53.8264,52.0804,84.4817,5.4708,32.2658,16
2016-03-27 17:00:00,52.42,blend,0.5,68.0124,0.0,39.2515,39.2515,51.5431,84.4817,5.2155,32.2545,17
2016-03-27 18:00:00,44.45,blend,0.5,67.7993,0.0,45.3604,45.3604,51.117,84.4817,5.2919,32.6638,18
2016-03-27 19:00:00,49.86,blend,0.5,67.6935,0.0,54.14,54.14,50.9053,84.4817,5.0796,32.7617,19
2016-03-27 20:00:00,51.22,blend,0.5,67.8933,0.0,53.9307,53.9307,51.3048,84.4817,4.8418,32.7855,20
2016-03-27 21:00:00,51.24,blend,0.5,68.1585,0.0,45.7304,45.7304,51.8352,84.4817,4.6487,32.8062,21
2016-03-27 22:00:00,52.15,blend,0.5,68.5129,0.0,46.4653,46.4653,52.5441,84.4817,4.4637,32.7856,22
2016-03-27 23:00:00,51.24,blend,0.5,68.904,0.0,54.1278,54.1278,53.3263,84.4817,4.3647,32.8046,23
2016-03-28 00:00:00,51.07,blend,0.5,69.2832,0.0,52.242,52.242,54.0847,84.4817,4.3107,32.8289,24
2016-03-28 01:00:00,50.75,blend,0.5,70.5048,0.0,48.439,48.439,56.5279,84.4817,4.3671,32.8636,25
2016-03-28 02:00:00,50.36,blend,0.5,72.5799,0.0,65.279,65.279,60.678,84.4817,4.5875,32.9102,26
2016-03-28 03:00:00,50.99,blend,0.5,74.8969,0.0,61.3409,61.3409,65.3121,84.4817,4.9352,32.931,27
2016-03-28 04:00:00,64.05,blend,0.5,77.8548,0.0,70.8407,70.8407,71.2279,84.4817,5.0125,32.5,28
2016-03-28 05:00:00,66.36,blend,0.5,82.4887,0.0,86.6113,86.6113,80.4956,84.4817,5.3166,32.0207,29
2016-03-28 06:00:00,66.53,blend,0.5,87.1916,0.0,74.4837,74.4837,89.9014,84.4817,5.899,31.5669,30
2016-03-28 07:00:00,65.28,blend,0.5,89.8413,0.0,90.3628,90.3628,95.201,84.4817,6.6497,31.1804,31
2016-03-28 08:00:00,64.21,blend,0.5,91.6636,0.0,106.066,106.066,98.8455,84.4817,7.4978,30.8499,32
2016-03-28 09:00:00,65.69,blend,0.5,90.1739,0.0,90.7747,90.7747,95.8661,84.4817,8.1648,30.4952,33
2016-03-28 10:00:00,66.85,blend,0.5,85.8019,0.0,88.0011,88.0011,87.1222,84.4817,8.5107,30.1277,34
2016-03-28 11:00:00,67.0,blend,0.5,81.5657,0.0,79.6656,79.6656,78.6498,84.4817,8.5979,29.7764,35
2016-03-28 12:00:00,67.62,blend,0.5,77.9214,0.0,69.7664,69.7664,71.3612,84.4817,8.4666,29.4274,36
2016-03-28 13:00:00,66.79,blend,0.5,75.5997,0.0,61.8453,61.8453,66.7178,84.4817,8.2457,29.1185,37
2016-03-28 14:00:00,67.04,blend,0.5,73.7352,0.0,62.1156,62.1156,62.9888,84.4817,8.1382,28.8191,38
2016-03-28 15:00:00,68.52,blend,0.5,72.2816,0.0,58.0245,58.0245,60.0814,84.4817,8.1457,28.4977,39
2016-03-28 16:00:00,61.74,blend,0.5,71.344,0.0,43.8156,43.8156,58.2064,84.4817,8.0332,28.3573,40
2016-03-28 17:00:00,58.59,blend,0.5,70.4938,0.0,61.9599,61.9599,56.5058,84.4817,7.8916,28.2986,41
2016-03-28 18:00:00,46.66,blend,0.5,69.7741,0.0,58.1655,58.1655,55.0665,84.4817,7.9035,28.5201,42
2016-03-28 19:00:00,51.11,blend,0.5,69.1513,0.0,54.0961,54.0961,53.8209,84.4817,7.7855,28.6303,43
2016-03-28 20:00:00,55.72,blend,0.5,68.9327,0.0,55.5459,55.5459,53.3838,84.4817,7.6644,28.6333,44
2016-03-28 21:00:00,53.84,blend,0.5,68.868,0.0,59.4548,59.4548,53.2542,84.4817,7.5105,28.6769,45
2016-03-28 22:00:00,54.34,blend,0.5,68.9765,0.0,56.0431,56.0431,53.4712,84.4817,7.3692,28.7081,46
2016-03-28 23:00:00,52.05,blend,0.5,69.1999,0.0,50.0836,50.0836,53.9182,84.4817,7.2546,28.7857,47
2016-03-29 00:00:00,51.94,blend,0.5,69.5731,0.0,59.617,59.617,54.6645,84.4817,7.1622,28.8623,48
2016-03-29 01:00:00,54.82,blend,0.5,70.1594,0.0,56.3013,56.3013,55.837,84.4817,7.0393,28.8783,49
2016-03-29 02:00:00,54.88,blend,0.5,71.1821,0.0,53.0491,53.0491,57.8825,84.4817,6.9601,28.8925,50
2016-03-29 03:00:00,55.06,blend,0.5,72.9989,0.0,66.7618,66.7618,61.5161,84.4817,6.9504,28.9027,51
2016-03-29 04:00:00,66.95,blend,0.5,75.9697,0.0,61.3157,61.3157,67.4577,84.4817,6.8289,28.6881,52
2016-03-29 05:00:00,69.35,blend,0.5,81.0274,0.0,80.2827,80.2827,77.5731,84.4817,6.8547,28.4371,53
2016-03-29 06:00:00,68.49,blend,0.5,86.84,0.0,94.1016,94.1016,89.1983,84.4817,7.1066,28.2108,54
2016-03-29 07:00:00,62.41,blend,0.5,90.7039,0.0,109.7711,109.7711,96.926,84.4817,7.596,28.1012,55
2016-03-29 08:00:00,63.63,blend,0.5,92.8453,0.0,85.7193,85.7193,101.209,84.4817,8.122,27.974,56
2016-03-29 09:00:00,66.8,blend,0.5,91.059,0.0,94.3401,94.3401,97.6362,84.4817,8.5137,27.7965,57
2016-03-29 10:00:00,70.85,blend,0.5,85.9604,0.0,90.3093,90.3093,87.439,84.4817,8.6505,27.5564,58
2016-03-29 11:00:00,71.29,blend,0.5,81.6134,0.0,86.3572,86.3572,78.7451,84.4817,8.6306,27.317,59
2016-03-29 12:00:00,70.69,blend,0.5,79.0678,0.0,64.4589,64.4589,73.6539,84.4817,8.5377,27.0953,60
2016-03-29 13:00:00,69.6,blend,0.5,76.9281,0.0,77.6741,77.6741,69.3746,84.4817,8.4036,26.8983,61
2016-03-29 14:00:00,72.08,blend,0.5,74.9718,0.0,68.4118,68.4118,65.462,84.4817,8.3753,26.6682,62
2016-03-29 15:00:00,69.03,blend,0.5,73.6014,0.0,63.1031,63.1031,62.7211,84.4817,8.343,26.4929,63
2016-03-29 16:00:00,64.32,blend,0.5,72.5628,0.0,53.5794,53.5794,60.6438,84.4817,8.2712,26.3955,64
2016-03-29 17:00:00,58.95,blend,0.5,71.4682,0.0,58.3175,58.3175,58.4547,84.4817,8.1534,26.3825,65
2016-03-29 18:00:00,47.18,blend,0.5,70.5173,0.0,54.0777,54.0777,56.5529,84.4817,8.1716,26.5454,66
2016-03-29 19:00:00,49.39,blend,0.5,69.6603,0.0,59.287,59.287,54.839,84.4817,8.1316,26.6711,67
2016-03-29 20:00:00,55.14,blend,0.5,69.3416,0.0,58.5245,58.5245,54.2016,84.4817,8.0273,26.7098,68
2016-03-29 21:00:00,52.95,blend,0.5,69.2877,0.0,61.2806,61.2806,54.0937,84.4817,7.929,26.7787,69
2016-03-29 22:00:00,53.19,blend,0.5,69.4957,0.0,52.0483,52.0483,54.5097,84.4817,7.8359,26.8423,70
2016-03-29 23:00:00,52.51,blend,0.5,69.9092,0.0,57.6188,57.6188,55.3367,84.4817,7.7663,26.9135,71
2016-03-30 00:00:00,52.37,blend,0.5,70.4435,0.0,56.8761,56.8761,56.4053,84.4817,7.7152,26.9847,72
2016-03-30 01:00:00,52.85,blend,0.5,71.2011,0.0,61.3502,61.3502,57.9205,84.4817,7.6795,27.0475,73
2016-03-30 02:00:00,53.66,blend,0.5,72.7296,0.0,64.5891,64.5891,60.9774,84.4817,7.6746,27.0978,74
2016-03-30 03:00:00,55.06,blend,0.5,75.2755,0.0,61.3669,61.3669,66.0694,84.4817,7.7185,27.1284,75
2016-03-30 04:00:00,65.86,blend,0.5,79.056,0.0,69.2141,69.2141,73.6302,84.4817,7.7192,27.0179,76
2016-03-30 05:00:00,68.56,blend,0.5,84.6959,0.0,90.3237,90.3237,84.9102,84.4817,7.8298,26.8757,77
2016-03-30 06:00:00,67.0,blend,0.5,90.6993,0.0,107.2585,107.2585,96.9169,84.4817,8.1094,26.7568,78
2016-03-30 07:00:00,60.85,blend,0.5,94.5468,0.0,112.164,112.164,104.6119,84.4817,8.5551,26.7177,79
2016-03-30 08:00:00,66.24,blend,0.5,96.2822,0.0,111.5276,111.5276,108.0827,84.4817,8.966,26.6131,80
2016-03-30 09:00:00,66.73,blend,0.5,95.2604,0.0,105.3964,105.3964,106.039,84.4817,9.3361,26.505,81
2016-03-30 10:00:00,65.16,blend,0.5,91.5715,0.0,87.8052,87.8052,98.6612,84.4817,9.6272,26.4184,82
2016-03-30 11:00:00,67.92,blend,0.5,86.3553,0.0,82.5416,82.5416,88.2289,84.4817,9.7544,26.3011,83
2016-03-30 12:00:00,65.09,blend,0.5,81.3734,0.0,73.1146,73.1146,78.2652,84.4817,9.7946,26.2198,84
2016-03-30 13:00:00,65.92,blend,0.5,77.6631,0.0,71.4019,71.4019,70.8444,84.4817,9.738,26.1308,85
2016-03-30 14:00:00,68.19,blend,0.5,74.7004,0.0,60.6619,60.6619,64.919,84.4817,9.6637,26.0177,86
2016-03-30 15:00:00,69.22,blend,0.5,72.7821,0.0,60.4898,60.4898,61.0825,84.4817,9.6463,25.8954,87
2016-03-30 16:00:00,68.26,blend,0.5,71.6101,0.0,56.4265,56.4265,58.7385,84.4817,9.6449,25.7868,88
2016-03-30 17:00:00,63.36,blend,0.5,70.6637,0.0,54.0768,54.0768,56.8458,84.4817,9.6101,25.7349,89
2016-03-30 18:00:00,49.1,blend,0.5,69.9889,0.0,44.5852,44.5852,55.4962,84.4817,9.5748,25.8409,90
2016-03-30 19:00:00,51.78,blend,0.5,69.3399,0.0,59.7203,59.7203,54.198,84.4817,9.497,25.9155,91
2016-03-30 20:00:00,56.42,blend,0.5,69.0165,0.0,55.7892,55.7892,53.5513,84.4817,9.4258,25.9386,92
2016-03-30 21:00:00,54.49,blend,0.5,68.9369,0.0,47.8773,47.8773,53.392,84.4817,9.3372,25.9817,93
2016-03-30 22:00:00,55.48,blend,0.5,69.1469,0.0,52.7606,52.7606,53.812,84.4817,9.2564,26.0135,94
2016-03-30 23:00:00,54.65,blend,0.5,69.5964,0.0,51.4988,51.4988,54.7112,84.4817,9.1606,26.0533,95
2016-03-31 00:00:00,54.31,blend,0.5,70.2814,0.0,52.5114,52.5114,56.0811,84.4817,9.0845,26.0957,96
2016-03-31 01:00:00,54.07,blend,0.5,71.0863,0.0,62.9654,62.9654,57.691,84.4817,9.0287,26.1398,97
2016-03-31 02:00:00,54.61,blend,0.5,72.4753,0.0,58.0132,58.0132,60.4689,84.4817,8.9967,26.1775,98
2016-03-31 03:00:00,54.98,blend,0.5,74.4802,0.0,60.6275,60.6275,64.4787,84.4817,9.0017,26.2107,99
2016-03-31 04:00:00,64.98,blend,0.5,77.3654,0.0,69.475,69.475,70.249,84.4817,8.9648,26.1443,100
2016-03-31 05:00:00,67.26,blend,0.5,82.1421,0.0,74.3646,74.3646,79.8025,84.4817,8.9998,26.0568,101
2016-03-31 06:00:00,66.74,blend,0.5,87.6252,0.0,91.6854,91.6854,90.7686,84.4817,9.1457,25.9761,102
2016-03-31 07:00:00,60.53,blend,0.5,91.4592,0.0,109.4387,109.4387,98.4367,84.4817,9.4223,25.9566,103
2016-03-31 08:00:00,63.35,blend,0.5,93.5378,0.0,98.3196,98.3196,102.5939,84.4817,9.7063,25.9106,104
2016-03-31 09:00:00,67.68,blend,0.5,91.8362,0.0,99.4527,99.4527,99.1907,84.4817,9.912,25.8247,105
2016-03-31 10:00:00,72.1,blend,0.5,86.0099,0.0,90.5925,90.5925,87.5381,84.4817,9.9637,25.6991,106
2016-03-31 11:00:00,70.11,blend,0.5,80.4766,0.0,75.3546,75.3546,76.4716,84.4817,9.9303,25.5942,107
2016-03-31 12:00:00,74.82,blend,0.5,77.4377,0.0,62.2773,62.2773,70.3937,84.4817,9.8798,25.448,108
2016-03-31 13:00:00,72.28,blend,0.5,75.275,0.0,55.4167,55.4167,66.0684,84.4817,9.8465,25.3276,109
2016-03-31 14:00:00,77.05,blend,0.5,73.8166,0.0,63.5714,63.5714,63.1514,84.4817,9.883,25.1664,110
2016-03-31 15:00:00,74.85,blend,0.5,72.7233,0.0,61.7652,61.7652,60.9649,84.4817,9.9187,25.0277,111
2016-03-31 16:00:00,74.0,blend,0.5,71.8434,0.0,51.6684,51.6684,59.205,84.4817,9.9619,24.899,112
2016-03-31 17:00:00,68.85,blend,0.5,70.9181,0.0,62.8548,62.8548,57.3545,84.4817,9.9753,24.8177,113
2016-03-31 18:00:00,53.65,blend,0.5,70.1134,0.0,47.5964,47.5964,55.7452,84.4817,9.9068,24.87,114
2016-03-31 19:00:00,57.88,blend,0.5,69.4046,0.0,56.1246,56.1246,54.3275,84.4817,9.852,24.8849,115
2016-03-31 20:00:00,60.57,blend,0.5,69.1409,0.0,52.7533,52.7533,53.8001,84.4817,9.8257,24.8766,116
2016-03-31 21:00:00,57.94,blend,0.5,69.1622,0.0,60.2332,60.2332,53.8428,84.4817,9.7771,24.8907,117
2016-03-31 22:00:00,57.67,blend,0.5,69.3474,0.0,53.6031,53.6031,54.213,84.4817,9.724,24.9068,118
2016-03-31 23:00:00,55.98,blend,0.5,69.724,0.0,62.5252,62.5252,54.9663,84.4817,9.6514,24.9368,119
2016-04-01 00:00:00,55.54,blend,0.5,70.2582,0.0,53.8102,53.8102,56.0346,84.4817,9.5757,24.9699,120
2016-04-01 01:00:00,54.98,blend,0.5,70.9953,0.0,56.4465,56.4465,57.5088,84.4817,9.518,25.007,121
2016-04-01 02:00:00,55.43,blend,0.5,72.2865,0.0,52.6342,52.6342,60.0912,84.4817,9.4785,25.0399,122
2016-04-01 03:00:00,55.53,blend,0.5,74.3255,0.0,72.0902,72.0902,64.1692,84.4817,9.4717,25.0715,123
2016-04-01 04:00:00,70.53,blend,0.5,77.1722,0.0,76.5157,76.5157,69.8626,84.4817,9.4013,24.9825,124
2016-04-01 05:00:00,76.62,blend,0.5,81.6313,0.0,100.4091,100.4091,78.7809,84.4817,9.3438,24.8466,125
2016-04-01 06:00:00,73.68,blend,0.5,87.2281,0.0,98.4498,98.4498,89.9745,84.4817,9.3986,24.736,126
2016-04-01 07:00:00,66.61,blend,0.5,91.3575,0.0,99.1211,99.1211,98.2334,84.4817,9.5722,24.6824,127
2016-04-01 08:00:00,69.48,blend,0.5,92.9932,0.0,98.7675,98.7675,101.5047,84.4817,9.7462,24.6074,128
2016-04-01 09:00:00,69.7,blend,0.5,90.3837,0.0,94.4768,94.4768,96.2858,84.4817,9.8758,24.5318,129
2016-04-01 10:00:00,71.13,blend,0.5,85.0347,0.0,93.8545,93.8545,85.5877,84.4817,9.9108,24.4464,130
2016-04-01 11:00:00,72.44,blend,0.5,80.5956,0.0,84.0187,84.0187,76.7094,84.4817,9.868,24.3525,131
2016-04-01 12:00:00,73.71,blend,0.5,77.7115,0.0,64.0145,64.0145,70.9412,84.4817,9.8146,24.2503,132
2016-04-01 13:00:00,70.37,blend,0.5,75.8378,0.0,65.5717,65.5717,67.1938,84.4817,9.7651,24.1747,133
2016-04-01 14:00:00,71.74,blend,0.5,74.5582,0.0,63.8637,63.8637,64.6347,84.4817,9.7454,24.09,134
2016-04-01 15:00:00,71.57,blend,0.5,73.4115,0.0,60.1706,60.1706,62.3414,84.4817,9.7416,24.0078,135
2016-04-01 16:00:00,71.58,blend,0.5,72.3541,0.0,62.386,62.386,60.2264,84.4817,9.7534,23.9267,136
2016-04-01 17:00:00,65.55,blend,0.5,71.4856,0.0,58.4221,58.4221,58.4895,84.4817,9.7339,23.8905,137
2016-04-01 18:00:00,50.92,blend,0.5,70.8551,0.0,60.8042,60.8042,57.2284,84.4817,9.7092,23.9601,138
2016-04-01 19:00:00,53.85,blend,0.5,69.8796,0.0,55.1866,55.1866,55.2776,84.4817,9.6501,24.0078,139
